# Survived mutants: 52
# generated from analysis/target/stryker4s-report/1782671913743/report.json
#
# by file:
#     32 src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala
#     14 src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala
#      6 src/main/scala/com/github/mercurievv/scalasemantic/model/InputTypes.scala
#
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:430:31  [MethodExpression] -> params.isEmpty
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:242:6  [MethodExpression] -> index.info(index.owner(info.symbol)).forall(isImplicit)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:258:23  [MethodExpression] -> parentSymbol(tpe).forall(sym => index.displayName(sym) == givenName)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:259:8  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:320:55  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:330:10  [ConditionalExpression] -> false
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:349:17  [ConditionalExpression] -> false
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:349:17  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:349:17  [MethodExpression] -> tparams.nonEmpty
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:349:38  [StringLiteral] -> "Stryker was here!"
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:349:63  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:349:68  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:349:74  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:351:23  [ConditionalExpression] -> false
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:351:23  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:351:42  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:351:59  [StringLiteral] -> "Stryker was here!"
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:352:30  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:352:63  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:352:76  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:352:82  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:361:12  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:361:70  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:361:81  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:361:87  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:368:67  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:369:67  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/model/InputTypes.scala:28:23  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/model/InputTypes.scala:64:10  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/model/InputTypes.scala:64:53  [LogicalOperator] -> ||
src/main/scala/com/github/mercurievv/scalasemantic/model/InputTypes.scala:65:17  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/model/InputTypes.scala:72:23  [StringLiteral] -> ""
src/main/scala/com/github/mercurievv/scalasemantic/model/InputTypes.scala:205:23  [StringLiteral] -> ""
